high,low,volume,close,open,time
373.76,364.13,43281200.0,365.93,373.31,1702530000
372.4,366.28,78493986.0,370.73,366.85,1702616400
373.0,368.68,21804069.0,372.65,369.45,1702875600
373.26,369.84,20605745.0,373.26,371.49,1702962000
376.03,370.53,26322034.0,370.62,375.0,1703048400
374.41,370.04,17709860.0,373.54,372.56,1703134800
375.18,372.71,17093399.0,374.58,373.68,1703221200
376.94,373.5,12673397.0,374.66,375.0,1703566800
375.06,372.8116,14906842.0,374.07,373.69,1703653200
376.458,374.16,14328694.0,375.28,375.37,1703739600
377.16,373.48,18727853.0,376.04,376.0,1703826000
375.9,366.771,25263217.0,370.87,373.86,1704171600
373.2562,368.51,23087200.0,370.6,369.01,1704258000
373.1,367.17,20903636.0,367.94,370.665,1704344400
372.06,366.5,20994560.0,367.75,368.97,1704430800
375.2,369.01,23138403.0,374.69,369.3,1704690000
375.99,371.19,20832365.0,375.79,372.01,1704776400
384.17,376.32,25518405.0,382.77,376.37,1704862800
390.68,380.38,27855837.0,384.63,386.0,1704949200
388.68,384.65,21650252.0,388.47,385.49,1705035600
394.03,387.6229,27203507.0,390.27,393.66,1705381200
390.11,384.81,22235872.0,389.47,387.98,1705467600
393.99,390.12,23396386.0,393.87,391.72,1705554000
398.67,393.5,29331136.0,398.67,395.76,1705640400
400.62,393.59,27020638.0,396.51,400.02,1705899600
399.38,393.93,20530250.0,398.9,395.75,1705986000
405.63,400.45,24872010.0,402.56,401.54,1706072400
407.01,402.5294,21032928.0,404.87,404.32,1706158800
406.17,402.43,17795635.0,403.93,404.37,1706245200
409.98,404.33,24510234.0,409.72,406.06,1706504400
413.05,406.4501,33477610.0,408.59,412.26,1706590800
415.32,397.21,47871097.0,397.58,406.96,1706677200
408.0,401.8,30657726.0,403.78,401.83,1706763600
412.65,403.56,28215692.0,411.22,403.81,1706850000
411.16,403.99,25352286.0,405.65,409.9,1707109200
407.97,402.91,18382624.0,405.49,405.88,1707195600
414.3,407.4,22340526.0,414.05,407.44,1707282000
415.56,412.53,21225257.0,414.11,414.05,1707368400
420.82,415.09,22016921.0,420.55,415.25,1707454800
420.74,414.75,21202921.0,415.26,420.555,1707714000
410.071,403.39,27824936.0,406.32,404.94,1707800400
409.84,404.57,20401190.0,409.49,408.07,1707886800
409.13,404.29,21825525.0,406.56,408.14,1707973200
408.29,403.44,22288159.0,404.06,407.96,1708059600
404.49,398.01,24307915.0,402.79,403.24,1708405200
402.29,397.22,18631072.0,402.18,400.17,1708491600
412.83,408.57,27009869.0,411.65,410.19,1708578000
415.86,408.97,16290899.0,410.34,415.67,1708664400
412.16,407.36,16193505.0,407.54,411.455,1708923600
408.32,403.85,14835827.0,407.48,407.99,1709010000
409.3,405.3201,13169677.0,407.72,408.175,1709096400
